a,b,af,bf,as,bs,afs,bfs,pressure,alpha_endo,alpha_epi,Vol,Apex_Twist,C11,L11,R11
5.025,5.025,5.025,5.025,5.025,5.025,5.025,5.025,17.0,-45.0,45.0,98.3544573998284,2.16775901717493,-0.136620419352163,-0.0690456254859224,0.291111402244623
2.5375,7.5125,2.5375,7.5125,2.5375,7.5125,2.5375,7.5125,23.5,-67.5,67.5,113.284174545976,2.68660062580014,-0.179895452223126,-0.0770151939876854,0.412605972735542
7.5125,2.5375,7.5125,2.5375,7.5125,2.5375,7.5125,2.5375,10.5,-22.5,22.5,82.1939116460984,0.849043092561653,-0.0763594449778938,-0.0466562249867245,0.148172684697255
1.29375,6.26875,8.75625,8.75625,6.26875,1.29375,3.78125,3.78125,26.75,-33.75,56.25,111.436970506208,-0.0324533887012645,-0.13945452273144,-0.151961089687332,0.477263943975621
6.26875,1.29375,3.78125,3.78125,1.29375,6.26875,8.75625,8.75625,13.75,-78.75,11.25,104.995097842561,7.98353176424812,-0.167396655392235,-0.0562024839036209,0.333200546902002
3.78125,3.78125,6.26875,1.29375,8.75625,8.75625,1.29375,6.26875,7.25,-11.25,33.75,84.7351672026353,-4.58764104529156,-0.0799184550958674,-0.0637653138251838,0.180458066205159
8.75625,8.75625,1.29375,6.26875,3.78125,3.78125,6.26875,1.29375,20.25,-56.25,78.75,92.9901231913775,0.0861351806377634,-0.13253853988831,-0.0268708459450887,0.21498589429808
0.671875,9.378125,6.890625,3.159375,1.915625,0.671875,4.403125,5.646875,25.125,-28.125,5.625,119.158586272944,19.4091384221218,-0.170176459515588,-0.136975708826002,0.505979944865624
5.646875,4.403125,1.915625,8.134375,6.890625,5.646875,9.378125,0.671875,12.125,-73.125,50.625,95.8545084073528,1.31816618645608,-0.140450806742455,-0.0375291113568239,0.24650569406636
3.159375,1.915625,9.378125,5.646875,4.403125,8.134375,1.915625,3.159375,5.625,-5.625,73.125,81.9158647427756,-10.2584915951976,-0.0709182149040115,-0.0493809616489122,0.145539933020028
8.134375,6.890625,4.403125,0.671875,9.378125,3.159375,6.890625,8.134375,18.625,-50.625,28.125,92.5787909083668,2.56395225688825,-0.126472296899047,-0.0389954703506155,0.220594868815451
1.915625,3.159375,3.159375,6.890625,5.646875,1.915625,0.671875,9.378125,8.875,-84.375,61.875,108.191598996185,3.77894238226825,-0.167447055299828,-0.0782440148032433,0.381016827964748
